Year,GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",GDP_growth,LE_change,Internet_growth
2000,401.698150634766,0.117,53.244,,,
2001,396.638732910156,0.171,54.124,-1.2595073481456387,0.8800000000000026,46.15384615384617
2002,402.649047851563,0.222,54.94,1.5153121575669282,0.8159999999999954,29.824561403508756
2003,422.18359375,0.677,55.929,4.851506790508653,0.9890000000000044,204.95495495495496
2004,450.385284423828,0.878,56.836,6.679958930504504,0.9069999999999964,29.68980797636631
2005,483.334869384766,1.1,57.675,7.315866237301694,0.8389999999999986,25.284738041002285
2013,963.05712890625,4.4,62.788,99.25256585193604,5.113,300.0
2014,1022.74841308594,7.0,63.364,6.198104181782216,0.5760000000000005,59.09090909090908
2015,939.127319335938,10.0,63.928,-8.176115717226295,0.5640000000000001,42.85714285714286
2016,953.0107421875,13.5,64.404,1.478332337449095,0.4759999999999991,35.00000000000001
2017,986.674011230469,14.5,64.963,3.5323074077527883,0.5589999999999975,7.407407407407418
2018,1023.10626220703,15.5,65.488,3.6924303834786176,0.5250000000000057,6.896551724137923
2019,1063.32250976563,16.6,66.007,3.930798690631221,0.5190000000000055,7.096774193548394
2020,1117.41528320313,17.8,66.771,5.087146462217063,0.7639999999999958,7.2289156626506035
2021,1159.85656738281,19.0,66.131,3.7981657149005255,-0.6400000000000006,6.741573033707859
2022,1207.85302734375,22.1,66.879,4.138137534474873,0.7480000000000047,16.315789473684216
2023,1224.48962402344,29.1,66.995,1.3773692910532542,0.1159999999999996,31.674208144796378
2024,1185.74548339844,,,-3.16410526188814,,0.0
2000,2005.97694514234,3.69,71.205,,,
2001,1889.93432467144,5.56,71.52,-5.784843178377896,0.3149999999999977,50.67750677506775
2002,2089.75183111554,7.53,71.775,10.572722228262489,0.2550000000000096,35.431654676259015
2003,2347.54001286066,9.3,72.101,12.335827532569231,0.3259999999999934,23.50597609561753
2004,2641.56268717857,10.7,72.1,12.52471407120428,-0.0010000000000047,15.053763440860202
2005,2867.70383436062,15.0,72.894,8.560885126053531,0.7940000000000111,40.18691588785048
2013,6018.08244729255,28.9,75.96,109.8571817348891,3.0659999999999883,92.66666666666666
2014,5801.1978916205,34.9,76.279,-3.603881428537481,0.3190000000000026,20.761245674740493
2015,5688.85335397884,39.3,76.563,-1.936574820244208,0.284000000000006,12.60744985673352
2016,5833.57715617098,47.5,76.769,2.5439889761074364,0.206000000000003,20.86513994910941
2017,6413.09182530343,52.9,76.989,9.934121956704,0.2199999999999988,11.368421052631582
2018,7099.77650081458,56.8,77.19,10.707544725958453,0.2009999999999934,7.372400756143671
2019,7605.69657797759,66.7,77.197,7.125859202820895,0.007000000000005,17.42957746478875
2020,6985.64393892574,77.8,77.331,-8.152476669227404,0.1340000000000003,16.641679160419788
2021,7057.20754802279,85.3,77.606,1.0244382582725198,0.2749999999999915,9.640102827763483
2022,6909.35281815827,88.0,75.291,-2.095088303105741,-2.3149999999999977,3.1652989449003632
2023,7195.10130919449,89.5,76.412,4.135676648111719,1.121000000000009,1.7045454545454586
