Country Name,Country Code,Year,GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",GDP_growth,LE_change,Internet_growth,GDP_category,Internet_category
Liechtenstein,LIE,2023,207973.617746758,97.3,84.8414634146342,11.321872893398744,0.7195121951220074,0.8290155440414448,High,Very High
Lithuania,LTU,2024,29386.2878350187,88.5,76.9878048780488,5.759309432931703,1.3439024390244043,0.0,High,Very High
Low & middle income,LMY,2024,5974.80452228262,,71.9740048771462,2.662678643512173,0.2887229947993006,,Middle,
Low income,LIC,2024,746.934788844338,26.5,64.5178957936853,7.13793081427514,1.0595855136405987,8.606557377049185,Low,Medium
Lower middle income,LMC,2024,2517.63261211924,54.0,69.5963746571515,3.037737751080938,0.2952799815985969,6.090373280943018,Lower-middle,High
Luxembourg,LUX,2024,137516.587324367,98.8,83.3585365853659,4.648819533546478,0.4121951219511999,-0.503524672708966,High,Very High
"Macao SAR, China",MAC,2024,73046.8890267079,89.2,83.1804878048781,8.255255599562993,0.0999999999999943,0.0,High,Very High
Madagascar,MDG,2024,544.997302693127,20.4,63.632,7.131425364519384,0.5640000000000001,0.0,Low,Medium
Malawi,MWI,2024,508.371273531708,18.0,67.353,-15.601119226149152,1.3159999999999883,0.0,Low,Low
Malaysia,MYS,2024,11867.2586435443,97.7,76.657,4.2900940008477,1.212999999999994,0.0,Middle,Very High
Maldives,MDV,2024,13215.5353637008,84.7,81.041,5.46811994890386,0.2809999999999917,0.0,Upper-middle,Very High
Mali,MLI,2024,1086.1762176779,35.1,60.439,4.857188572258364,0.4040000000000034,0.0,Lower-middle,Medium
Malta,MLT,2024,42347.3073860173,92.1,83.5073170731707,5.3876182349111845,1.0585365853658004,0.0,High,Very High
Marshall Islands,MHL,2024,7466.65186507409,65.7,66.945,11.803969134296777,0.2199999999999988,0.0,Middle,High
Mauritania,MRT,2024,2082.78374423714,37.4,68.484,-1.7936167552018434,0.2029999999999887,0.0,Lower-middle,Medium
Mauritius,MUS,2024,11871.733679438,79.5,73.4121951219512,6.1664783232761256,-0.102439024390307,0.0,Middle,High
Mexico,MEX,2024,14157.9445835849,81.2,75.069,2.3999044620948595,1.0960000000000036,0.0,Upper-middle,Very High
"Micronesia, Fed. Sts.",FSM,2024,4166.00476748564,39.4,67.198,5.699341785521028,0.2369999999999947,0.0,Middle,Medium
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2024,6180.85878446824,,72.0839412410497,1.9430197634719537,0.3921092672725024,,Middle,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2024,2905.83377209255,,71.3194560888195,4.050510482855296,0.3540235379315106,,Lower-middle,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,2903.59793979158,,71.2758849884583,3.79603757827347,0.2703534441185979,,Lower-middle,
Middle income,MIC,2024,6524.2573581605,,72.7431938727471,2.7805652380534784,0.2256432010259033,,Middle,
Moldova,MDA,2024,7617.51613089815,80.2,71.198,12.029117521191624,-0.3480000000000132,0.0,Middle,Very High
Monaco,MCO,2023,256580.515122745,99.1,86.372,13.505084210820971,0.6260000000000048,0.0,High,Very High
Mongolia,MNG,2024,6691.48209834228,83.0,72.1224390243902,14.607037260876288,0.221707317073097,0.0,Middle,Very High
Montenegro,MNE,2024,12935.4522712126,89.8,77.5878048780488,7.104835134999687,1.4000000000000057,0.0,Upper-middle,Very High
Morocco,MAR,2024,3993.38745117188,91.0,75.313,5.884775894940564,0.152000000000001,0.0,Lower-middle,Very High
Mozambique,MOZ,2024,647.28579950207,19.8,63.611,3.9006004998919153,0.5999999999999943,0.0,Low,Low
Myanmar,MMR,2024,1359.25961394135,58.5,66.889,10.222453216402291,0.3829999999999955,0.0,Lower-middle,High
Namibia,NAM,2024,4413.1274418646,64.4,67.385,5.385475424922492,3.1950000000000074,0.0,Middle,High
Nauru,NRU,2024,13421.8330584638,81.7,62.109,5.234722640835932,0.179000000000002,0.0,Upper-middle,Very High
Nepal,NPL,2024,1447.31004458428,55.8,70.354,4.700719848057444,0.2669999999999959,0.0,Lower-middle,High
Netherlands,NLD,2024,68218.7261019406,97.0,81.9146341463415,5.647524948422045,0.2999999999999971,0.0,High,Very High
New Caledonia,NCL,2023,33516.363085906,82.0,78.766,0.0,1.068000000000012,0.0,High,Very High
New Zealand,NZL,2024,48747.0136853042,96.2,83.0048780487805,0.1893117647412401,1.0463414634146917,0.0,High,Very High
Nicaragua,NIC,2024,2847.53966339498,58.2,74.947,9.124344444837917,0.4840000000000088,0.0,Lower-middle,High
Niger,NER,2024,722.748650326257,23.2,61.183,13.223844327788914,0.7849999999999966,0.0,Low,Medium
Nigeria,NGA,2024,806.945695055244,39.2,54.462,-49.45966336622518,0.3830000000000026,0.0,Low,Medium
North America,NAC,2024,82406.4788664869,,78.7328213732191,3.882126881499892,0.9000534137951917,,High,
North Macedonia,MKD,2024,9310.02790015256,87.2,75.3160975609756,7.951313960055417,0.8912195121951072,0.0,Middle,Very High
Northern Mariana Islands,MNP,2023,23785.754590043,,78.808,0.0,0.277000000000001,,Upper-middle,
Norway,NOR,2024,86809.7246897431,99.0,83.1121951219512,-0.7858574066224144,0.6024390243902076,0.0,High,Very High
OECD members,OED,2024,48454.6975400673,,80.1615573011433,3.818486290901202,0.6399888412056072,,High,
Oman,OMN,2024,20248.4168124608,95.3,80.031,-3.452458505470346,2.1200000000000045,0.0,Upper-middle,Very High
Other small states,OSS,2024,15867.6733515992,,73.5646945094343,4.726980457393348,0.6597696433081097,,Upper-middle,
Pacific island small states,PSS,2024,4399.41105391407,,69.2745949035856,5.928300143222587,0.1741600042294919,,Middle,
Pakistan,PAK,2024,1484.74985864775,27.4,67.649,8.759396128071351,0.2319999999999993,0.0,Lower-middle,Medium
Palau,PLW,2023,15899.4246065324,27.0,69.269,10.472501424114355,0.3470000000000084,0.0,Upper-middle,Medium
Panama,PAN,2024,19102.8521936399,78.0,79.594,2.228610026225586,0.269999999999996,0.0,Upper-middle,High
Papua New Guinea,PNG,2024,3076.48786186584,24.1,66.134,3.722758420109429,0.8599999999999994,0.0,Lower-middle,Medium
Paraguay,PRY,2024,6416.09709002917,78.1,73.844,1.842968319039784,1.5249999999999917,0.0,Middle,High
Peru,PER,2024,8452.37167047598,79.5,77.74,7.161037257964065,0.9059999999999916,0.0,Middle,High
Philippines,PHL,2024,3984.8315387656,83.8,69.833,4.751442325156674,0.3610000000000042,0.0,Lower-middle,Very High
Poland,POL,2024,25022.6716445953,86.4,78.5073170731707,12.993330292062378,1.351219512195101,0.0,High,Very High
Portugal,PRT,2024,28844.4979246799,85.8,82.2804878048781,5.324583050561382,0.6487804878049133,0.0,High,Very High
Post-demographic dividend,PST,2024,55865.7865373976,,80.8228346378274,3.52927607626079,0.6249814301659029,,High,
Pre-demographic dividend,PRE,2024,1290.20000126508,,62.1636298902791,-8.905637438941428,0.7803418873287953,,Lower-middle,
Puerto Rico (US),PRI,2024,39285.0174585856,87.3,81.69,6.32399125970593,2.262999999999991,0.0,High,Very High
Qatar,QAT,2024,76275.9076782833,99.7,82.368,-4.887990797079988,0.5109999999999957,0.0,High,Very High
Romania,ROU,2024,20072.4079244042,89.2,76.6073170731707,9.063845278391655,1.4536585365853083,0.0,Upper-middle,Very High
Russian Federation,RUS,2024,14889.0185546875,92.2,73.2546341463415,5.152983130877509,0.7090243902438971,0.0,Upper-middle,Very High
Rwanda,RWA,2024,999.654561402699,34.2,67.785,-2.6659189631442315,0.2569999999999908,0.0,Low,Medium
Samoa,WSM,2024,4898.77140817676,58.1,71.698,13.130937103325468,0.1479999999999961,0.0,Middle,High
San Marino,SMR,2023,54264.570495898,87.0,85.706,0.0,-0.0019999999999953,2.2326674500587678,High,Very High
Sao Tome and Principe,STP,2024,3244.82899741459,61.5,69.718,10.333299448055456,0.4810000000000087,0.0,Lower-middle,High
Saudi Arabia,SAU,2024,35057.2252306969,100.0,78.732,-3.041258178073869,1.421999999999997,0.0,High,Very High
Senegal,SEN,2024,1743.98888384359,60.6,68.683,2.70636596628906,0.8950000000000102,0.0,Lower-middle,High
Serbia,SRB,2024,13523.7246826854,85.4,76.2209756097561,10.11454824143907,0.9843902439023964,0.0,Upper-middle,Very High
Seychelles,SYC,2024,17858.8226383978,87.4,74.9585365853659,-2.211549717864514,1.2560975609756042,0.0,Upper-middle,Very High
Sierra Leone,SLE,2024,873.388575182318,20.6,61.786,15.245773672975194,0.5110000000000028,0.0,Low,Medium
Singapore,SGP,2024,90674.066632628,94.3,82.8951219512195,6.160518541811566,0.0,0.0,High,Very High
Sint Maarten (Dutch part),SXM,2024,40027.9175992113,,76.371,5.122108419838622,0.1909999999999883,,High,
Slovak Republic,SVK,2024,26147.9028430133,89.8,78.0170731707317,5.975445960577641,1.0512195121951038,2.981651376146788,High,Very High
Slovenia,SVN,2024,34089.3527652778,90.4,81.9780487804878,4.536144774404249,0.695121951219491,0.0,High,Very High
Small states,SST,2024,15291.69576976,,72.9007197557042,7.514112866052858,0.5212518979436993,,Upper-middle,
Solomon Islands,SLB,2024,2149.37957267304,42.5,70.528,3.529291152891933,0.1189999999999997,0.0,Lower-middle,Medium
Somalia,SOM,2024,636.983477589273,27.6,58.816,6.615455220341571,4.885000000000005,0.0,Low,Medium
South Africa,ZAF,2024,6253.37158194543,75.7,66.139,3.832750676566632,0.6850000000000023,0.0,Middle,High
South Asia,SAS,2024,2691.64556264089,,72.3247648783903,6.289349893099194,0.3131917475456021,,Lower-middle,
South Asia (IDA & IBRD),TSA,2024,2691.64556264089,,72.3247648783903,6.289349893099194,0.3131917475456021,,Lower-middle,
South Sudan,SSD,2023,1080.14718624765,9.27,57.617,0.0,0.4139999999999944,0.0,Lower-middle,Low
Spain,ESP,2024,35297.0094995565,95.4,83.8829268292683,5.335868030817981,0.7487804878048934,0.0,High,Very High
Sri Lanka,LKA,2024,4515.56787322732,51.2,77.483,18.865449545300848,0.1830000000000069,0.0,Middle,High
St. Kitts and Nevis,KNA,2024,22771.4168922033,76.4,72.145,0.7564745857582933,1.8319999999999936,0.0,Upper-middle,High
St. Lucia,LCA,2024,14181.6303351598,70.1,72.697,4.624659267778064,0.027000000000001,0.0,Upper-middle,High
St. Martin (French part),MAF,2023,21668.3740927942,,80.224,0.0,-0.0120000000000004,,Upper-middle,
St. Vincent and the Grenadines,VCT,2024,11501.2265187188,76.0,71.23,8.682943631230987,0.0390000000000014,0.0,Middle,High
Sub-Saharan Africa,SSF,2024,1516.35448013206,,62.6029134885664,-4.076033623305286,0.7457338990862041,,Lower-middle,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,1516.35448013206,,62.6029134885664,-4.076033623305286,0.7457338990862041,,Lower-middle,
Sub-Saharan Africa (excluding high income),SSA,2024,1506.22853698028,,62.0654798813283,-6.685327989981904,0.7821262820325998,,Lower-middle,
Sudan,SDN,2024,989.312866210938,26.4,66.331,24.08546416006752,0.6360000000000099,0.0,Low,Medium
Suriname,SUR,2024,7430.70219176443,78.4,73.631,35.24939897578516,0.3769999999999953,0.0,Middle,High
Sweden,SWE,2024,57723.2345031532,95.7,83.309756097561,3.880256341647215,0.2512195121951066,0.0,High,Very High
Switzerland,CHE,2024,103669.872008144,97.3,84.0560975609756,3.018995158430937,0.4512195121950952,0.0,High,Very High
Syrian Arab Republic,SYR,2023,847.372723418531,34.7,72.12,-19.426101521007038,-0.6700000000000017,0.0,Low,Medium
Tajikistan,TJK,2024,1341.20229027672,56.8,71.79,13.80782053143539,0.2280000000000086,0.0,Lower-middle,High
Tanzania,TZA,2024,1185.74548339844,29.1,66.995,-3.16410526188814,0.1159999999999996,0.0,Lower-middle,Medium
Thailand,THA,2024,7345.13569000377,89.5,76.412,2.085229579985959,1.121000000000009,0.0,Middle,Very High
Timor-Leste,TLS,2024,1343.14886031844,34.0,67.689,-10.60690190232908,0.3209999999999979,0.0,Lower-middle,Medium
Togo,TGO,2024,1043.14092889765,37.0,62.739,5.827692119706085,0.448999999999998,0.0,Lower-middle,Medium
Tonga,TON,2023,4863.76384632192,58.5,72.895,-1.40502278258956,0.2599999999999909,1.3864818024263317,Middle,High
Trinidad and Tobago,TTO,2024,19314.7163432664,84.7,73.49,3.623840911424048,0.1589999999999918,0.0,Upper-middle,Very High
Tunisia,TUN,2024,4350.3717971875,72.4,76.508,10.125530375684576,0.4579999999999984,0.0,Middle,High
Turkiye,TUR,2024,15473.2872636856,87.3,77.156,18.0656985921118,-0.434999999999988,1.5116279069767424,Upper-middle,Very High
Turkmenistan,TKM,2024,8571.60702949432,21.3,70.073,4.117200131838605,0.1599999999999966,0.0,Middle,Medium
Turks and Caicos Islands,TCA,2024,37506.7798431288,,78.008,5.741619195330738,0.0899999999999892,,High,
Tuvalu,TUV,2023,6344.7750188689,74.3,67.105,7.332494522424571,0.2530000000000001,0.9510869565217516,Middle,High
Uganda,UGA,2024,1072.71369837695,15.3,68.252,7.024235990949324,0.5769999999999982,0.0,Lower-middle,Low
Ukraine,UKR,2024,5389.47314453125,82.4,73.422,4.86176142517829,0.7639999999999958,0.0,Middle,Very High
United Arab Emirates,ARE,2024,49377.5643384379,100.0,82.909,0.6869184623856661,2.4220000000000117,0.0,High,Very High
United Kingdom,GBR,2024,52636.7865943853,96.3,81.2380975609756,6.983576959632876,0.226878048780506,0.0,High,Very High
United States,USA,2024,85809.9003846356,93.1,78.3853658536585,4.258910300723406,0.9512195121950952,0.0,High,Very High
Upper middle income,UMC,2024,10961.8184459945,80.7,76.1953051028563,3.108756043975114,0.1860246695816982,2.8025477707006363,Middle,Very High
Uruguay,URY,2024,23906.5133029408,89.9,78.138,3.853663836234933,1.6700000000000017,0.0,Upper-middle,Very High
Uzbekistan,UZB,2024,3161.70010632875,89.0,72.388,9.820575829063994,0.2409999999999996,0.0,Lower-middle,Very High
Vanuatu,VUT,2024,3542.81071592874,45.7,71.477,0.7844246353351014,0.1749999999999971,0.0,Lower-middle,Medium
"Venezuela, RB",VEN,2023,15943.6127197163,61.6,72.514,0.0,-0.0520000000000067,0.0,Upper-middle,High
Viet Nam,VNM,2024,4717.29028732449,78.1,74.588,9.111914102671449,0.0859999999999985,0.0,Middle,High
Virgin Islands (U.S.),VIR,2023,44320.909185774,64.4,80.519512195122,0.0,0.2000000000000028,0.0,High,High
West Bank and Gaza,PSE,2024,2592.30591217647,86.6,65.17,-24.97005769040945,-11.492000000000004,0.0,Lower-middle,Very High
World,WLD,2024,13673.0039578901,67.6,73.3297162833404,3.0865210478869365,0.3607005606766051,3.363914373088672,Upper-middle,High
"Yemen, Rep.",YEM,2024,433.174015068148,13.8,69.295,1.5995951578281042,1.3430000000000035,0.0,Low,Low
Zambia,ZMB,2024,1235.08466482514,33.0,66.349,-7.187280563872878,1.0700000000000074,0.0,Lower-middle,Medium
Zimbabwe,ZWE,2024,2656.40937654332,38.4,62.775,23.20813408678035,0.4149999999999991,0.0,Lower-middle,Medium
