Actual_GDP,Actual_Life_Expectancy,Predicted_Life_Expectancy,Residual
23933.9939421065,78.5951219512195,72.6827008409806,5.9124211102388955
3453.09252800226,71.281,68.41898956014674,2.8620104398532646
1598.10676952274,66.868,68.03281887633257,-1.1648188763325749
49513.6817346384,81.7609756097561,78.00787677909234,3.7530988306637596
1091.27216412426,60.557,67.92730611686652,-7.370306116866516
18273.4270684912,77.132,71.50428479634658,5.627715203653423
1639.85274740652,65.831,68.04150954835104,-2.210509548351041
4347.54610314873,71.0531707317073,68.60519678420515,2.447973947502149
1326.41652388077,75.083,67.97625843781407,7.106741562185931
4858.26575549747,72.1170731707317,68.71151833221882,3.4055548385128844
49885.9947355204,81.8951219512195,78.08538484916042,3.8097371020590742
33644.9282220364,80.1634146341463,74.70432182335885,5.459092810787453
42961.0356905775,80.990243902439,76.64374781364877,4.346496088790232
